SYSBRANCHID,SYSITEMID,NAME,ITEMID,ITEMNAME,CF_UNITNAME,CC_VSTOCK,CF_FSALE,BASEQUANTITY,PRICE,AMOUNT,CF_SYSITEMGROUPL1ID,CF_SYSITEMGROUPL2ID,CF_SYSITEMGROUPL3ID,CF_SYSITEMGROUPL4ID,CF_SYSITEMGROUPL5ID,CF_ITEMGROUPL1_GROUPNAME,CF_ITEMGROUPL2_GROUPNAME,CF_ITEMGROUPL3_GROUPNAME,CF_ITEMGROUPL4_GROUPNAME,CF_ITEMGROUPL5_GROUPNAME,CF_ITEMGROUPL1_ORDINARY,CF_ITEMGROUPL2_ORDINARY,CF_ITEMGROUPL3_ORDINARY,CF_ITEMGROUPL4_ORDINARY,CF_ITEMGROUPL5_ORDINARY,CF_COMPANY,CF_WAHOUSENAME,CF_SYSWAREHOUSEID
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,5.0000,18.0000,90.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,3.0000,18.0000,54.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,5.0000,18.0000,90.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,3.0000,18.0000,54.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,2.0000,18.0000,36.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,3.0000,18.0000,54.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,1.0000,18.0000,18.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
1,3,ตลาดเทศบาล,1010100101001,ถั่วงอก ไผ่คู่ 1กก.,ถุง,-1,1,5.0000,18.0000,90.0000,3,1,1,,,พืชผักสวนครัว,ถั่วงอก,ไผ่คู่,,,1,1,1,,,บริษัท พีเค นู้ดเดิ้ล ช็อป จำกัด,เทศบาล,0
